Date,Open,High,Low,Close,Volume
2019-02-01,25025.31,25193.15,24982.49,25063.89,109429687
2019-02-04,25062.12,25239.91,24977.67,25239.37,85456954
2019-02-05,25287.93,25427.32,25287.65,25411.52,91156100
2019-02-06,25371.57,25439.04,25312.06,25390.3,71643621
2019-02-07,25265.81,25314.26,25000.52,25169.53,89393389
2019-02-08,25042.36,25106.39,24883.04,25106.33,72703735
2019-02-11,25142.81,25196.75,25009.1,25053.11,77602627
2019-02-12,25152.03,25458.98,25152.03,25425.76,81712705
2019-02-13,25480.86,25625.95,25480.86,25543.27,72371362
2019-02-14,25460.65,25558.9,25308.09,25439.39,83407240
2019-02-15,25564.63,25883.72,25564.63,25883.25,109357435
2019-02-19,25849.85,25961.44,25820.01,25891.32,78867106
2019-02-20,25872.26,25986.2,25846.48,25954.44,81036550
2019-02-21,25922.41,25938.88,25762.21,25850.63,69199992
2019-02-22,25906.27,26052.9,25906.27,26031.81,80981851
2019-02-25,26126.15,26241.42,26080.66,26091.95,82976188
2019-02-26,26051.61,26155.29,25966.01,26057.98,74980090
2019-02-27,25995.6,26039.68,25877.24,25985.16,68562270
2019-02-28,25984.28,26029.21,25896.56,25916,117897726
2019-03-01,26019.67,26143.92,25914.37,26026.32,85813876
2019-03-04,26122.19,26155.98,25611.55,25819.65,86355671
2019-03-05,25829.07,25877.15,25725.63,25806.63,76830150
2019-03-06,25818.76,25837.61,25633.71,25673.46,72280889
2019-03-07,25645.45,25645.45,25352.55,25473.23,82909975
2019-03-08,25347.38,25466.14,25252.46,25450.24,76669938
2019-03-11,25208,25661.63,25208,25650.88,86119489
2019-03-12,25600.3,25675.44,25522.17,25554.66,86151851
2019-03-13,25637.23,25776.49,25571.31,25702.89,94467632
2019-03-14,25692.31,25752.84,25621.31,25709.94,95416063
2019-03-15,25720.96,25927.91,25649.7,25848.87,321929010
2019-03-18,25801.88,25924.77,25785.66,25914.1,97030797
2019-03-19,25987.87,26109.68,25814.92,25887.38,118528388
2019-03-20,25867.79,25929.52,25670.63,25745.67,97143699
2019-03-21,25688.44,26009.9,25657.78,25962.51,95104506
2019-03-22,25844.65,25877.01,25501.45,25502.32,109046544
2019-03-25,25490.72,25603.27,25372.26,25516.83,78791355
2019-03-26,25649.56,25796.29,25544.78,25657.73,94783023
2019-03-27,25676.34,25758.17,25425.27,25625.59,77429047
2019-03-28,25693.32,25743.41,25576.69,25717.46,67653145
2019-03-29,25827.31,25949.32,25771.67,25928.68,107949567
2019-04-01,26075.1,26280.9,26071.69,26258.42,83658052
2019-04-02,26213.55,26221.24,26122.31,26179.13,69646651
2019-04-03,26238.03,26282.17,26138.47,26218.13,79809911
2019-04-04,26213.42,26398.9,26212.78,26384.63,64994229
2019-04-05,26427.56,26487.57,26370.82,26424.99,60326993
2019-04-08,26312.67,26344.65,26246.03,26341.02,65708631
